Código ; Descripción ; Cod. Comisión ; Turno ; Días ; Detalle 
0901;INGLES NIVEL I;1300 ;M ;Lu08a12 ;DETALLE 
;;2300 ;M ;Ma08a12 ;DETALLE 
;;3300 ;M ;Mi08a12 ;DETALLE 
;;4300 ;M ;Ju08a12 ;DETALLE 
;;5300 ;M ;Vi08a12 ;DETALLE 
;;6300 ;M ;Sa08a12 ;DETALLE 
;;1900 ;N ;Lu19a23 ;DETALLE 
;;2900 ;N ;Ma19a23 ;DETALLE 
;;3900 ;N ;Mi19a23 ;DETALLE 
;;4900 ;N ;Ju19a23 ;DETALLE 
;;5900 ;N ;Vi19a23 ;DETALLE 
;;1600 ;T ;Lu14a18 ;DETALLE 
;;2600 ;T ;Ma14a18 ;DETALLE 
;;3600 ;T ;Mi14a18 ;DETALLE 
;;4600 ;T ;Ju14a18 ;DETALLE 
;;5600 ;T ;Vi14a18 ;DETALLE 
;;7173 ;T ;LuMi12a14 ;DETALLE 
;;7174 ;T ;LuJu12a14 ;DETALLE 
;;7274 ;T ;MaJu12a14 ;DETALLE 
;;7275 ;T ;MaVi12a14 ;DETALLE 
;;7375 ;T ;MiVi12a14 ;DETALLE 
;;7666 ;T ;Sa13a17 ;DETALLE 
0902;INGLES NIVEL II;1300 ;M ;Lu08a12 ;DETALLE 
;;2300 ;M ;Ma08a12 ;DETALLE 
;;3300 ;M ;Mi08a12 ;DETALLE 
;;4300 ;M ;Ju08a12 ;DETALLE 
;;5300 ;M ;Vi08a12 ;DETALLE 
;;6300 ;M ;Sa08a12 ;DETALLE 
;;1900 ;N ;Lu19a23 ;DETALLE 
;;2900 ;N ;Ma19a23 ;DETALLE 
;;3900 ;N ;Mi19a23 ;DETALLE 
;;4900 ;N ;Ju19a23 ;DETALLE 
;;5900 ;N ;Vi19a23 ;DETALLE 
;;1600 ;T ;Lu14a18 ;DETALLE 
;;2600 ;T ;Ma14a18 ;DETALLE 
;;3600 ;T ;Mi14a18 ;DETALLE 
;;4600 ;T ;Ju14a18 ;DETALLE 
;;5600 ;T ;Vi14a18 ;DETALLE 
;;7174 ;T ;LuJu12a14 ;DETALLE 
;;7274 ;T ;MaJu12a14 ;DETALLE 
;;7275 ;T ;MaVi12a14 ;DETALLE 
;;7375 ;T ;MiVi12a14 ;DETALLE 
;;7666 ;T ;Sa13a17 ;DETALLE 
0903;INGLES NIVEL III;1300 ;M ;Lu08a12 ;DETALLE 
;;2300 ;M ;Ma08a12 ;DETALLE 
;;3300 ;M ;Mi08a12 ;DETALLE 
;;4300 ;M ;Ju08a12 ;DETALLE 
;;5300 ;M ;Vi08a12 ;DETALLE 
;;6300 ;M ;Sa08a12 ;DETALLE 
;;1900 ;N ;Lu19a23 ;DETALLE 
;;2900 ;N ;Ma19a23 ;DETALLE 
;;3900 ;N ;Mi19a23 ;DETALLE 
;;4900 ;N ;Ju19a23 ;DETALLE 
;;5900 ;N ;Vi19a23 ;DETALLE 
;;1600 ;T ;Lu14a18 ;DETALLE 
;;2600 ;T ;Ma14a18 ;DETALLE 
;;3600 ;T ;Mi14a18 ;DETALLE 
;;4600 ;T ;Ju14a18 ;DETALLE 
;;5600 ;T ;Vi14a18 ;DETALLE 
;;7174 ;T ;LuJu12a14 ;DETALLE 
;;7375 ;T ;MiVi12a14 ;DETALLE 
;;7666 ;T ;Sa13a17 ;DETALLE 
0904;INGLES NIVEL IV;1300 ;M ;Lu08a12 ;DETALLE 
;;2300 ;M ;Ma08a12 ;DETALLE 
;;3300 ;M ;Mi08a12 ;DETALLE 
;;4300 ;M ;Ju08a12 ;DETALLE 
;;5300 ;M ;Vi08a12 ;DETALLE 
;;6300 ;M ;Sa08a12 ;DETALLE 
;;1900 ;N ;Lu19a23 ;DETALLE 
;;2900 ;N ;Ma19a23 ;DETALLE 
;;3900 ;N ;Mi19a23 ;DETALLE 
;;4900 ;N ;Ju19a23 ;DETALLE 
;;5900 ;N ;Vi19a23 ;DETALLE 
;;1600 ;T ;Lu14a18 ;DETALLE 
;;2600 ;T ;Ma14a18 ;DETALLE 
;;3600 ;T ;Mi14a18 ;DETALLE 
;;4600 ;T ;Ju14a18 ;DETALLE 
;;5600 ;T ;Vi14a18 ;DETALLE 
;;7273 ;T ;MaMi12a14 ;DETALLE 
;;7274 ;T ;MaJu12a14 ;DETALLE 
;;7666 ;T ;Sa13a17 ;DETALLE 
0911;COMPUTACION NIVEL I;1300 ;M ;Lu08a12 ;DETALLE 
;;2300 ;M ;Ma08a12 ;DETALLE 
;;3300 ;M ;Mi08a12 ;DETALLE 
;;4300 ;M ;Ju08a12 ;DETALLE 
;;5300 ;M ;Vi08a12 ;DETALLE 
;;6300 ;M ;Sa08a12 ;DETALLE 
;;1900 ;N ;Lu19a23 ;DETALLE 
;;2900 ;N ;Ma19a23 ;DETALLE 
;;3900 ;N ;Mi19a23 ;DETALLE 
;;4900 ;N ;Ju19a23 ;DETALLE 
;;5900 ;N ;Vi19a23 ;DETALLE 
;;6900 ;N ;A distancia ;DETALLE 
;;1600 ;T ;Lu14a18 ;DETALLE 
;;2600 ;T ;Ma14a18 ;DETALLE 
;;3600 ;T ;Mi14a18 ;DETALLE 
;;4600 ;T ;Ju14a18 ;DETALLE 
;;5600 ;T ;Vi14a18 ;DETALLE 
;;7174 ;T ;LuJu12a14 ;DETALLE 
;;7275 ;T ;MaVi12a14 ;DETALLE 
0912;COMPUTACION NIVEL II;1300 ;M ;Lu08a12 ;DETALLE 
;;2300 ;M ;Ma08a12 ;DETALLE 
;;3300 ;M ;Mi08a12 ;DETALLE 
;;4300 ;M ;Ju08a12 ;DETALLE 
;;5300 ;M ;Vi08a12 ;DETALLE 
;;6300 ;M ;Sa08a12 ;DETALLE 
;;1900 ;N ;Lu19a23 ;DETALLE 
;;2900 ;N ;Ma19a23 ;DETALLE 
;;3900 ;N ;Mi19a23 ;DETALLE 
;;4900 ;N ;Ju19a23 ;DETALLE 
;;5900 ;N ;Vi19a23 ;DETALLE 
;;6900 ;N ;A distancia ;DETALLE 
;;1600 ;T ;Lu14a18 ;DETALLE 
;;2600 ;T ;Ma14a18 ;DETALLE 
;;3600 ;T ;Mi14a18 ;DETALLE 
;;4600 ;T ;Ju14a18 ;DETALLE 
;;5600 ;T ;Vi14a18 ;DETALLE 
;;7174 ;T ;LuJu12a14 ;DETALLE 
;;7275 ;T ;MaVi12a14 ;DETALLE 
1023;ANALISIS MATEMATICO I;1333 ;M ;LuMi08a12 ;DETALLE 
;;1343 ;M ;LuJu08a12 ;DETALLE 
;;2343 ;M ;MaJu08a12 ;DETALLE 
;;2353 ;M ;MaVi08a12 ;DETALLE 
;;1949 ;N ;LuJu19a23 ;DETALLE 
;;2949 ;N ;MaJu19a23 ;DETALLE 
;;2966 ;N ;Ma19a23Sa14a18 ;DETALLE 
;;1636 ;T ;LuMi14a18 ;DETALLE 
;;2656 ;T ;MaVi14a18 ;DETALLE 
1024;ELEMENTOS DE PROGRAMACION;1343 ;M ;LuJu08a12 ;DETALLE 
;;2353 ;M ;MaVi08a12 ;DETALLE 
;;3363 ;M ;MiSa08a12 ;DETALLE 
;;2959 ;N ;MaVi19a23 ;DETALLE 
;;2980 ;N ;Ma19a23 ;DETALLE 
;;5980 ;N ;Vi19a23 ;DETALLE 
;;1646 ;T ;LuJu14a18 ;DETALLE 
1025;SIST DE REPRESENTACION Y DIBUJO TECNICO;1300 ;M ;Lu08a12 ;DETALLE 
;;3300 ;M ;Mi08a12 ;DETALLE 
;;6300 ;M ;Sa08a12 ;DETALLE 
;;1900 ;N ;Lu19a23 ;DETALLE 
;;3900 ;N ;Mi19a23 ;DETALLE 
;;1600 ;T ;Lu14a18 ;DETALLE 
;;3600 ;T ;Mi14a18 ;DETALLE 
1026;TECNOLOGIA INGENIERIA Y SOCIEDAD;1300 ;M ;Lu08a12 ;DETALLE 
;;5300 ;M ;Vi08a12 ;DETALLE 
;;6300 ;M ;Sa08a12 ;DETALLE 
;;3900 ;N ;Mi19a23 ;DETALLE 
;;4900 ;N ;Ju19a23 ;DETALLE 
;;2600 ;T ;Ma14a18 ;DETALLE 
;;6600 ;T ;Sa14a18 ;DETALLE 
1027;ALGEBRA Y GEOMETRIA ANALITICA I;1343 ;M ;LuJu08a12 ;DETALLE 
;;2353 ;M ;MaVi08a12 ;DETALLE 
;;3363 ;M ;MiSa08a12 ;DETALLE 
;;6300 ;M ;Sa08a12 ;DETALLE 
;;1949 ;N ;LuJu19a23 ;DETALLE 
;;2959 ;N ;MaVi19a23 ;DETALLE 
;;3959 ;N ;MiVi19a23 ;DETALLE 
;;1646 ;T ;LuJu14a18 ;DETALLE 
;;2656 ;T ;MaVi14a18 ;DETALLE 
1028;MATEMATICA DISCRETA;1300 ;M ;Lu08a12 ;DETALLE 
;;2300 ;M ;Ma08a12 ;DETALLE 
;;4300 ;M ;Ju08a12 ;DETALLE 
;;5300 ;M ;Vi08a12 ;DETALLE 
;;1900 ;N ;Lu19a23 ;DETALLE 
;;2900 ;N ;Ma19a23 ;DETALLE 
;;4900 ;N ;Ju19a23 ;DETALLE 
;;5900 ;N ;Vi19a23 ;DETALLE 
;;1600 ;T ;Lu14a18 ;DETALLE 
;;3600 ;T ;Mi14a18 ;DETALLE 
;;4600 ;T ;Ju14a18 ;DETALLE 
1029;QUIMICA GENERAL;2300 ;M ;Ma08a12 ;DETALLE 
;;3300 ;M ;Mi08a12 ;DETALLE 
;;4300 ;M ;Ju08a12 ;DETALLE 
;;6300 ;M ;Sa08a12 ;DETALLE 
;;3900 ;N ;Mi19a23 ;DETALLE 
;;4900 ;N ;Ju19a23 ;DETALLE 
;;2600 ;T ;Ma14a18 ;DETALLE 
;;5600 ;T ;Vi14a18 ;DETALLE 
;;6600 ;T ;Sa14a18 ;DETALLE 
1030;FUNDAMENTOS DE TIC'S;1333 ;M ;LuMi08a12 ;DETALLE 
;;2353 ;M ;MaVi08a12 ;DETALLE 
;;1949 ;N ;LuJu19a23 ;DETALLE 
;;2959 ;N ;MaVi19a23 ;DETALLE 
;;1646 ;T ;LuJu14a18 ;DETALLE 
;;2656 ;T ;MaVi14a18 ;DETALLE 
1031;FISICA I;1343 ;M ;LuJu08a12 ;DETALLE 
;;2353 ;M ;MaVi08a12 ;DETALLE 
;;1949 ;N ;LuJu19a23 ;DETALLE 
;;2959 ;N ;MaVi19a23 ;DETALLE 
;;3963 ;N ;Mi19a23Sa08a12 ;DETALLE 
;;3646 ;T ;MiJu14a18 ;DETALLE 
1032;ALGEBRA Y GEOMETRIA ANALITICA II;1300 ;M ;Lu08a12 ;DETALLE 
;;3300 ;M ;Mi08a12 ;DETALLE 
;;6300 ;M ;Sa08a12 ;DETALLE 
;;1980 ;N ;Lu19a23 (SEMIPRESENCIAL) ;DETALLE 
;;3900 ;N ;Mi19a23 ;DETALLE 
;;5900 ;N ;Vi19a23 ;DETALLE 
;;3600 ;T ;Mi14a18 ;DETALLE 
1033;ANALISIS MATEMATICO II;2343 ;M ;MaJu08a12 ;DETALLE 
;;3353 ;M ;MiVi08a12 ;DETALLE 
;;1959 ;N ;LuVi19a23 ;DETALLE 
;;3959 ;N ;MiVi19a23 ;DETALLE 
;;1656 ;T ;LuVi14a18 ;DETALLE 
1035;FISICA II;3353 ;M ;MiVi08a12 ;DETALLE 
;;1939 ;N ;LuMi19a23 ;DETALLE 
;;2949 ;N ;MaJu19a23 ;DETALLE 
;;4966 ;N ;Ju19a23Sa14a18 ;DETALLE 
1108;REQUERIMIENTOS PARA LA INGENIERIA;2300 ;M ;Ma08a12 ;DETALLE 
;;6300 ;M ;Sa08a12 ;DETALLE 
;;2900 ;N ;Ma19a23 ;DETALLE 
1109;ARQUITECTURA DE COMPUTADORAS;3352 ;M ;Mi08a12Vi10a12 ;DETALLE 
;;1947 ;N ;Lu19a23Ju19a21 ;DETALLE 
1110;PROGRAMACION;1361 ;M ;LuJu08a12Sa08a10 ;DETALLE 
;;3362 ;M ;MiVi08a12Sa10a12 ;DETALLE 
;;1965 ;N ;LuJu19a23Sa16a18 ;DETALLE 
;;2961 ;N ;MaVi19a23Sa08a10 ;DETALLE 
;;2964 ;N ;MaVi19a23Sa16a18 ;DETALLE 
;;2676 ;T ;MaVi14a18Sa12a14 ;DETALLE 
1111;PROBABILIDAD Y ESTADISTICA;4300 ;M ;Ju08a12 ;DETALLE 
;;5300 ;M ;Vi08a12 ;DETALLE 
;;6300 ;M ;Sa08a12 ;DETALLE 
;;3900 ;N ;Mi19a23 ;DETALLE 
;;4900 ;N ;Ju19a23 ;DETALLE 
;;3600 ;T ;Mi14a18 ;DETALLE 
1112;AUDITORIA Y SEGURIDAD INFORMATICA;3900 ;N ;Mi19a23 ;DETALLE 
;;4900 ;N ;Ju19a23 ;DETALLE 
1113;PROGRAMACION AVANZADA;1361 ;M ;LuJu08a12Sa08a10 ;DETALLE 
